Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,United States,USA,1.15,1.13,0.97,1.12,1.27,1.15,1.01,1.08,1.05,0.96,1.03,1.20,1.15,1.32,1.17,1.03,0.94,0.94,0.90,0.83,0.94,0.94,..,..,..
GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,United States,USA,10251000000000.00,10581900000000.00,10929100000000.00,11456500000000.00,12217200000000.00,13039200000000.00,13815600000000.00,14474200000000.00,14769900000000.00,14478100000000.00,15049000000000.00,15599700000000.00,16254000000000.00,16880700000000.00,17608100000000.00,18295000000000.00,18804900000000.00,19612100000000.00,20656500000000.00,21540000000000.00,21354100000000.00,23681200000000.00,26006900000000.00,27720700000000.00,..
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,36329.97,37133.62,37997.74,39490.30,41724.64,44123.40,46301.99,48050.23,48570.06,47194.95,48650.66,50065.98,51784.41,53409.75,55304.32,57040.21,58206.61,60322.26,63201.05,65604.68,64411.37,71318.31,78035.18,82769.41,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,4.08,0.96,1.70,2.80,3.85,3.48,2.78,2.00,0.11,-2.58,2.70,1.56,2.29,2.12,2.52,2.95,1.82,2.46,2.97,2.58,-2.16,6.06,2.51,2.89,..
Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,United States,USA,83.01,81.64,80.45,83.12,87.94,85.66,84.46,89.61,91.21,93.04,92.24,91.37,90.89,95.80,98.13,97.01,104.86,101.95,103.19,99.64,103.12,104.57,100.86,..,..
Cereal yield (kg per hectare),AG.YLD.CREL.KG,United States,USA,5854.30,5891.10,5546.80,6023.70,6851.10,6450.70,6400.40,6704.40,6598.30,7226.20,6978.10,6803.50,5911.90,7300.90,7638.10,7430.10,8614.20,8281.30,8196.00,8005.50,8144.50,8252.20,8071.70,..,..
Cereal production (metric tons),AG.PRD.CREL.MT,United States,USA,342631506.00,324994633.60,297143451.80,348247631.30,389023763.40,366436345.80,338336800.00,415130860.00,402399936.00,418666166.10,401126329.70,385545255.80,356210124.00,434308450.00,442849090.00,431870370.60,503466147.20,440271775.00,439710828.50,420874104.20,433259129.20,451637220.60,410940914.70,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,United States,USA,45.23,45.29,45.08,45.08,45.08,45.08,45.08,45.06,45.13,45.13,45.13,45.13,45.41,45.47,45.53,45.59,45.65,45.71,45.58,45.46,45.33,45.21,45.09,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,United States,USA,..,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,..,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,United States,USA,0.28,0.29,0.30,0.30,0.29,0.29,0.28,0.29,0.29,0.30,0.30,0.30,0.31,0.31,0.31,0.32,0.33,0.33,0.33,0.33,0.34,0.34,0.34,..,..
